wkt_geom,OBJECTID,link_fld,api,operator,well,symbol,sdf_key,id,type,status,oper_num,well_num,well_name,field_code,dist_n_s,dir_n_s,dist_e_w,dir_e_w,qtrqtr,sec,twp,range,meridian,lat,long_,ground_ele,utm_x,utm_y,LocQual,field_name,name,api_seq_nu,api_county,HF_Range,Gradient_R,HF_Tier,Gradient_T
Point (510039 4111416),334,7109485,05-071-09485,XTO ENERGY INC,28-01 GOLDEN EAGLE,LO_XX,07109485&TYPE=WELL,164,WELL,PR,100264,28-01,GOLDEN EAGLE,70830,558,N,938,E,NENE,28,33S,67W,6,37.149079,-104.886956,7168,510039,4111416,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9485,71,150-160,60-70,1,2
Point (505692 4117839.0000000037252903),471,7108913,05-071-08913,PIONEER NATURAL RESOURCES USA INC,11-6V Montoya,LO_XX,07108913&TYPE=WELL,47,WELL,PR,10084,11-6V,Montoya,70830,0,,0,,NWNW,6,33S,67W,6,37.20701,-104.93585,8272,505692,4117839,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8913,71,150-160,60-70,1,2
Point (509051.00000000093132257 4108692.0000000037252903),607,7109487,05-071-09487,XTO ENERGY INC,33-12 GOLDEN EAGLE,LO_XX,07109487&TYPE=WELL,268,WELL,PR,100264,33-12,GOLDEN EAGLE,70830,0,,0,,NWSW,33,33S,67W,6,37.12453,-104.898113,7822,509051,4108692,ACTUAL LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9487,71,140-150,50-60,2,3
Point (511148.00000000093132257 4119988),640,7109493,05-071-09493,PIONEER NATURAL RESOURCES USA INC,33-27 HELTON DEEP,LO_XX,07109493&TYPE=WELL,336,WELL,PR,10084,33-27,HELTON DEEP,70830,0,,0,,NWSE,27,32S,67W,6,37.22633,-104.87434,7794,511148,4119988,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9493,71,160-170,50-60,1,3
Point (525315 4130657.00000000186264515),1223,7109489,05-071-09489,PIONEER NATURAL RESOURCES USA INC,21-30 VANDER,LO_XX,07109489&TYPE=WELL,287,WELL,PR,10084,21-30,VANDER,70830,0,,0,,NENW,30,31S,65W,6,37.32222,-104.71428,7020,525315,4130657,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9489,71,120-130,60-70,2,2
Point (504781 4121164),1224,7109492,05-071-09492,PIONEER NATURAL RESOURCES USA INC,31-25 MICHELLE DEEP,LO_XX,07109492&TYPE=WELL,319,WELL,PR,10084,31-25,MICHELLE DEEP,70830,0,,0,,NWNE,25,32S,68W,6,37.23699,-104.9461,8336,504781,4121164,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9492,71,140-150,50-60,2,3
Point (533764 4105343),1269,7108915,05-071-08915,PIONEER NATURAL RESOURCES USA INC,34-12 LUIGI,LO_XX,07108915&TYPE=WELL,44,WELL,PR,10084,34-12,LUIGI,70830,0,,0,,SWSE,12,34S,65W,6,37.09378,-104.62006,6477,533764,4105343,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8915,71,120-130,80-90,2,1
Point (510971.00000000093132257 4116740),1270,7109486,05-071-09486,PIONEER NATURAL RESOURCES USA INC,24-3 MARILYN DEEP,LO_XX,07109486&TYPE=WELL,246,WELL,PR,10084,24-3,MARILYN DEEP,70830,0,,0,,SESW,3,33S,67W,6,37.19706,-104.87638,7534,510971,4116740,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9486,71,160-170,50-60,1,3
Point (511426.00000000093132257 4108554.0000000037252903),1054,7109491,05-071-09491,XTO ENERGY INC,34-15 GOLDEN EAGLE,LO_XX,07109491&TYPE=WELL,303,WELL,XX,100264,34-15,GOLDEN EAGLE,70830,1020,S,1583,E,SWSE,34,33S,67W,6,37.123259,-104.871374,7244,511426,4108554,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9491,71,140-150,60-70,2,2
Point (535681.00000000093132257 4103454),1445,7108914,05-071-08914,PIONEER NATURAL RESOURCES USA INC,41-19 LUNA,LO_XX,07108914&TYPE=WELL,46,WELL,PR,10084,41-19,LUNA,70830,0,,0,,NENE,19,34S,64W,6,37.07668,-104.59858,6806,535681,4103454,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,8914,71,120-130,90-100,2,1
Point (510136 4108770.99999999813735485),1740,7109484,05-071-09484,XTO ENERGY INC,33-9 GOLDEN EAGLE,LO_XX,07109484&TYPE=WELL,163,WELL,DG,100264,33-9,GOLDEN EAGLE,70830,0,,0,,NESE,33,33S,67W,6,37.125236,-104.885897,7516,510136,4108771,ACTUAL LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9484,71,140-150,60-70,2,2
Point (509030.00000000093132257 4110390.0000000037252903),2447,7109494,05-071-09494,XTO ENERGY INC,28-13 GOLDEN EAGLE,LO_XX,07109494&TYPE=WELL,340,WELL,PR,100264,28-13,GOLDEN EAGLE,70830,1291,S,785,W,SWSW,28,33S,67W,6,37.139833,-104.89833,7240,509030,4110390,PLANNED LatLong,PURGATOIRE RIVER,XTO ENERGY INC,9494,71,140-150,60-70,2,2
Point (516483 4120424),2288,7109488,05-071-09488,PIONEER NATURAL RESOURCES USA INC,42-30 HARVARD,LO_XX,07109488&TYPE=WELL,272,WELL,PR,10084,42-30,HARVARD,70830,0,,0,,SENE,30,32S,66W,6,37.23018,-104.81419,7783,516483,4120424,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9488,71,170-180,40-50,1,4
Point (515390.00000000093132257 4124822),4758,7107935,05-071-07935,PIONEER NATURAL RESOURCES USA INC,13-7 DESOTO,LO_XX,07107935&TYPE=WELL,270191,WELL,PR,10084,13-7,DESOTO,70830,1503,S,1105,W,NWSW,7,32S,66W,6,37.269841,-104.826419,8075,515390,4124822,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7935,71,150-160,50-60,1,3
Point (512592.00000000093132257 4114818),6066,7107937,05-071-07937,PIONEER NATURAL RESOURCES USA INC,24-11 KV FIRE FLY,LO_XX,07107937&TYPE=WELL,270208,WELL,PR,10084,24-11 KV,FIRE FLY,70830,380,S,2356,W,SESW,11,33S,67W,6,37.179712,-104.858139,7485,512592,4114818,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7937,71,160-170,50-60,1,3
Point (518788.00000000093132257 4100881.00000000186264515),6254,7107936,05-071-07936,PIONEER NATURAL RESOURCES USA INC,11-28-34-66 KV LORENCITO,LO_XX,07107936&TYPE=WELL,270209,WELL,PR,10084,11-28-34-66 KV,LORENCITO,70830,2557,S,1434,W,NESW,28,34S,66W,6,37.053975,-104.788696,7675,518788,4100881,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7936,71,130-140,50-60,2,3
Point (518019.00000000093132257 4111790),9577,7106868,05-071-06868,PIONEER NATURAL RESOURCES USA INC,44-20 CLYDESDALE,LO_XX,07106868&TYPE=WELL,199974,WELL,PR,10084,44-20,CLYDESDALE,70830,955,S,911,E,SESE,20,33S,66W,6,37.152323,-104.797077,7205,518019,4111790,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6868,71,160-170,70-80,1,1
Point (524138.00000000093132257 4098765.00000000186264515),11106,7106866,05-071-06866,PIONEER NATURAL RESOURCES USA INC,34-36 OX,LO_XX,07106866&TYPE=WELL,199976,WELL,PR,10084,34-36,OX,70830,343,S,2021,E,SWSE,36,34S,66W,6,37.034775,-104.728594,7554,524138,4098765,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6866,71,120-130,60-70,2,2
Point (514586 4118117.00000000186264515),12905,7106870,05-071-06870,PIONEER NATURAL RESOURCES USA INC,34-36 MCDONALD STATE,LO_XX,07106870&TYPE=WELL,199972,WELL,PR,10084,34-36,MCDONALD STATE,70830,625,S,1902,E,SWSE,36,32S,67W,6,37.209422,-104.835619,7340,514586,4118117,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6870,71,170-180,40-50,1,4
Point (523499.00000000093132257 4119817),14046,7109490,05-071-09490,PIONEER NATURAL RESOURCES USA INC,24-25 TWILIGHT ZONE,LO_XX,07109490&TYPE=WELL,288,WELL,PR,10084,24-25,TWILIGHT ZONE,70830,0,,0,,SESW,25,32S,66W,6,37.22456,-104.73512,7295,523499,4119817,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9490,71,190-200,50-60,1,3
Point (516067.00000000186264515 4118425),14459,7106869,05-071-06869,PIONEER NATURAL RESOURCES USA INC,33-31 MCDONALD,LO_XX,07106869&TYPE=WELL,199973,WELL,PA,10084,33-31,MCDONALD,70830,1661,S,1871,E,NWSE,31,32S,66W,6,37.212172,-104.818918,7362,516067,4118425,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6869,71,170-180,50-60,1,3
Point (513752 4120604.00000000186264515),15587,7106864,05-071-06864,PIONEER NATURAL RESOURCES USA INC,12-25 KATLYNN,LO_XX,07106864&TYPE=WELL,199978,WELL,PR,10084,12-25,KATLYNN,70830,1800,N,903,W,SWNW,25,32S,67W,6,37.231851,-104.844969,7475,513752,4120604,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6864,71,160-170,40-50,1,4
Point (512533.00000000186264515 4119244.00000000186264515),15857,7106865,05-071-06865,PIONEER NATURAL RESOURCES USA INC,21-35 SWIFT,LO_XX,07106865&TYPE=WELL,199977,WELL,PR,10084,21-35,SWIFT,70830,929,N,2123,W,NENW,35,32S,67W,6,37.219611,-104.858739,7485,512533,4119244,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6865,71,160-170,40-50,1,4
Point (519495 4097413.00000000186264515),16617,7106867,05-071-06867,EL PASO E & P COMPANY LP,14 WDW VPR C,LO_XX,07106867&TYPE=WELL,199975,WELL,IJ,100872,14 WDW,VPR C,70830,1221,S,1362,E,SWSE,4,35S,66W,6,37.022702,-104.780833,7719,519495,4097413,Planned Footage,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,6867,71,120-130,50-60,2,3
Point (508202.00000000093132257 4113374.00000000186264515),21467,7107775,05-071-07775,XTO ENERGY INC,17-15 GOLDEN EAGLE,LO_XX,07107775&TYPE=WELL,265486,WELL,PR,100264,17-15,GOLDEN EAGLE,70830,616,S,1525,E,SWSE,17,33S,67W,6,37.166742,-104.90762,7764,508202,4113374,Planned LatLong,PURGATOIRE RIVER,XTO ENERGY INC,7775,71,150-160,70-80,1,1
Point (516790 4114889.00000000186264515),21561,7107743,05-071-07743,PIONEER NATURAL RESOURCES USA INC,14-8 COALMONT,LO_XX,07107743&TYPE=WELL,264918,WELL,PR,10084,14-8,COALMONT,70830,657,S,318,W,SWSW,8,33S,66W,6,37.180282,-104.810848,7157,516790,4114889,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7743,71,170-180,60-70,1,2
Point (520648.00000000093132257 4127901.00000000186264515),21562,7107762,05-071-07762,PIONEER NATURAL RESOURCES USA INC,34-34 BOWEN,LO_XX,07107762&TYPE=WELL,265213,WELL,PR,10084,34-34,BOWEN,70830,1120,S,2189,E,SWSE,34,31S,66W,6,37.2975,-104.767027,7122,520648,4127901,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7762,71,130-140,60-70,2,2
Point (508255.00000000093132257 4127157),21783,7107768,05-071-07768,PIONEER NATURAL RESOURCES USA INC,32-5 HERITAGE,LO_XX,07107768&TYPE=WELL,265220,WELL,SI,10084,32-5,HERITAGE,70830,1371,N,1675,E,SWNE,5,32S,67W,6,37.29098,-104.906861,7980,508255,4127157,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7768,71,130-140,30-40,2,4
Point (510059 4126619),21784,7107766,05-071-07766,PIONEER NATURAL RESOURCES USA INC,43-4 SONOMA,LO_XX,07107766&TYPE=WELL,265222,WELL,PR,10084,43-4,SONOMA,70830,2254,S,880,E,NESE,4,32S,67W,6,37.28612,-104.886521,7878,510059,4126619,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7766,71,130-140,40-50,2,4
Point (520858 4120938.00000000186264515),21786,7107771,05-071-07771,PIONEER NATURAL RESOURCES USA INC,31-27 TR JACKSON CANYON,LO_XX,07107771&TYPE=WELL,265447,WELL,PR,10084,31-27 TR,JACKSON CANYON,70830,634,N,1821,E,NWNE,27,32S,66W,6,37.234731,-104.764857,7315,520858,4120938,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7771,71,180-190,50-60,1,3
Point (518517.00000000093132257 4121819.00000000186264515),21787,7107785,05-071-07785,PIONEER NATURAL RESOURCES USA INC,13-21 FAT CAT,LO_XX,07107785&TYPE=WELL,265622,WELL,PR,10084,13-21,FAT CAT,70830,2201,S,824,W,NWSW,21,32S,66W,6,37.242721,-104.791218,7510,518517,4121819,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7785,71,170-180,40-50,1,4
Point (524036.00000000093132257 4097699.0000000037252903),21934,7107797,05-071-07797,EL PASO E & P COMPANY LP,119 VPR C,LO_XX,07107797&TYPE=WELL,265681,WELL,PR,100872,119,VPR C,70830,2095,N,2376,E,NWSE,1,35S,66W,6,37.025175,-104.729774,7418,524036,4097699,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7797,71,120-130,60-70,2,2
Point (524827 4097096),21935,7107792,05-071-07792,EL PASO E & P COMPANY LP,120 VPR C,LO_XX,07107792&TYPE=WELL,265688,WELL,PR,100872,120,VPR C,70830,106,S,217,W,SWSW,6,35S,65W,6,37.019716,-104.720894,7470,524827,4097096,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7792,71,120-130,60-70,2,2
Point (511801 4098607),21991,7107815,05-071-07815,XTO ENERGY INC,34-16 HILL RANCH,LO_XX,07107815&TYPE=WELL,266156,WELL,PR,100264,34-16,HILL RANCH,70830,39,S,383,E,SESE,34,34S,67W,6,37.033595,-104.867308,7939,511801,4098607,Planned LatLong,PURGATOIRE RIVER,XTO ENERGY INC,7815,71,130-140,60-70,2,2
Point (506610 4102501.0000000037252903),21992,7106123,05-071-06123,XTO ENERGY INC,19-10 APACHE CANYON,LO_XX,07106123&TYPE=WELL,217347,WELL,IJ,100264,19-10,APACHE CANYON,70830,2351,N,1597,E,NWSE,19,34S,67W,6,37.068744,-104.92564,7349,506610,4102501,Planned LatLong,PURGATOIRE RIVER,XTO ENERGY INC,6123,71,130-140,60-70,2,2
Point (526135.00000000093132257 4103870.00000000186264515),22021,7107867,05-071-07867,PIONEER NATURAL RESOURCES USA INC,44-18TR BALD EAGLE,LO_XX,07107867&TYPE=WELL,268153,WELL,PR,10084,44-18TR,BALD EAGLE,70830,1253,S,713,E,SESE,18,34S,65W,6,37.080744,-104.705964,7158,526135,4103870,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7867,71,130-140,70-80,2,1
Point (514809.00000000093132257 4118893.0000000037252903),22022,7106064,05-071-06064,PIONEER NATURAL RESOURCES USA INC,42-36 STATE OF COLORADO AS,LO_XX,07106064&TYPE=WELL,217288,WELL,PR,10084,42-36,STATE OF COLORADO AS,70830,2080,N,960,E,SENE,36,32S,67W,6,37.216411,-104.833089,7370,514809,4118893,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6064,71,170-180,40-50,1,4
Point (519125 4118786),22023,7106100,05-071-06100,PIONEER NATURAL RESOURCES USA INC,1-32-33 HORN SPRING GAS COM,LO_XX,07106100&TYPE=WELL,217324,WELL,PR,10084,1-32-33,HORN SPRING GAS COM,70830,2425,N,2262,E,SWNE,33,32S,66W,6,37.215372,-104.784447,7430,519125,4118786,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6100,71,180-190,50-60,1,3
Point (529764.00000000093132257 4100651.99999999813735485),22024,7106201,05-071-06201,PIONEER NATURAL RESOURCES USA INC,14-27 PCW,LO_XX,07106201&TYPE=WELL,217424,WELL,PR,10084,14-27,PCW,70830,1155,S,638,W,SWSW,27,34S,65W,6,37.051625,-104.665262,6720,529764,4100652,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6201,71,120-130,120-130,2,1
Point (519341.00000000093132257 4128739.00000000186264515),23203,7107715,05-071-07715,PIONEER NATURAL RESOURCES USA INC,42-33 JAROSA,LO_XX,07107715&TYPE=WELL,264847,WELL,PR,10084,42-33,JAROSA,70830,1461,N,1176,E,SENE,33,31S,66W,6,37.30508,-104.781748,7076,519341,4128739,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7715,71,130-140,60-70,2,2
Point (508831.00000000093132257 4124578.00000000186264515),23450,7107717,05-071-07717,PIONEER NATURAL RESOURCES USA INC,14-9 PIRATE,LO_XX,07107717&TYPE=WELL,264848,WELL,PR,10084,14-9,PIRATE,70830,775,S,341,W,SWSW,9,32S,67W,6,37.26773,-104.900401,8276,508831,4124578,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7717,71,140-150,40-50,2,4
Point (510327.00000000093132257 4097019.00000000186264515),23463,7107819,05-071-07819,WILLIAMS PRODUCTION RMT COMPANY,03-13V-2 HILL RANCH,LO_XX,07107819&TYPE=WELL,266152,WELL,AL,96850,03-13V-2,HILL RANCH,70830,104,S,47,W,SWSW,3,35S,67W,6,37.019295,-104.883909,8195,510327,4097019,Planned LatLong,PURGATOIRE RIVER,WILLIAMS PRODUCTION RMT COMPANY,7819,71,120-130,60-70,2,2
Point (508010.00000000093132257 4095395),23466,7107820,05-071-07820,XTO ENERGY INC,08-15V HILL RANCH,LO_XX,07107820&TYPE=WELL,266151,WELL,PR,100264,08-15V,HILL RANCH,70830,53,S,2287,E,SWSE,8,35S,67W,6,37.004675,-104.909969,8365,508010,4095395,Planned LatLong,PURGATOIRE RIVER,XTO ENERGY INC,7820,71,120-130,60-70,2,2
Point (516031.00000000186264515 4115025),23500,7107747,05-071-07747,PIONEER NATURAL RESOURCES USA INC,34-7 CHINLE,LO_XX,07107747&TYPE=WELL,264915,WELL,PR,10084,34-7,CHINLE,70830,1075,S,2170,E,SWSE,7,33S,66W,6,37.181522,-104.819398,7275,516031,4115025,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7747,71,170-180,60-70,1,2
Point (517144.00000000093132257 4114429.99999999813735485),23501,7107746,05-071-07746,PIONEER NATURAL RESOURCES USA INC,21-17 TUBORG,LO_XX,07107746&TYPE=WELL,264916,WELL,PR,10084,21-17,TUBORG,70830,883,N,1492,W,NENW,17,33S,66W,6,37.176142,-104.806868,7125,517144,4114430,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7746,71,170-180,60-70,1,2
Point (515311.00000000093132257 4115365.99999999813735485),23502,7107745,05-071-07745,PIONEER NATURAL RESOURCES USA INC,13-7 SILVERSTONE,LO_XX,07107745&TYPE=WELL,265101,WELL,PR,10084,13-7,SILVERSTONE,70830,2150,S,706,W,NWSW,7,33S,66W,6,37.184612,-104.827498,7402,515311,4115366,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7745,71,170-180,50-60,1,3
Point (513883.00000000186264515 4110215.00000000186264515),23503,7107759,05-071-07759,PIONEER NATURAL RESOURCES USA INC,14-25 CUCHARA,LO_XX,07107759&TYPE=WELL,265216,WELL,PR,10084,14-25,CUCHARA,70830,1107,S,1147,W,SWSW,25,33S,67W,6,37.138203,-104.843688,7043,513883,4110215,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7759,71,160-170,60-70,1,2
Point (525028.00000000093132257 4108915.00000000186264515),23504,7107799,05-071-07799,PIONEER NATURAL RESOURCES USA INC,13-31 COKE OVEN,LO_XX,07107799&TYPE=WELL,265833,WELL,PR,10084,13-31,COKE OVEN,70830,1932,S,954,W,NWSW,31,33S,65W,6,37.126254,-104.718244,6562,525028,4108915,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7799,71,150-160,80-90,1,1
Point (517021.00000000093132257 4110219.0000000037252903),23505,7107800,05-071-07800,PIONEER NATURAL RESOURCES USA INC,14-29 KV PUMPERNICKEL,LO_XX,07107800&TYPE=WELL,265834,WELL,PR,10084,14-29 KV,PUMPERNICKEL,70830,1156,S,1188,W,SWSW,29,33S,66W,6,37.138183,-104.808357,6955,517021,4110219,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7800,71,160-170,60-70,1,2
Point (516436.00000000093132257 4110559),23506,7107808,05-071-07808,PIONEER NATURAL RESOURCES USA INC,43-30 TR DROWSEY DUCK,LO_XX,07107808&TYPE=WELL,266001,WELL,PR,10084,43-30 TR,DROWSEY DUCK,70830,2282,S,732,E,NESE,30,33S,66W,6,37.141263,-104.814937,7035,516436,4110559,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7808,71,160-170,60-70,1,2
Point (516513.00000000093132257 4110025.00000000186264515),23527,7107807,05-071-07807,PIONEER NATURAL RESOURCES USA INC,44-30 TR HEARTBEAT,LO_XX,07107807&TYPE=WELL,266002,WELL,PR,10084,44-30 TR,HEARTBEAT,70830,523,S,476,E,SESE,30,33S,66W,6,37.136443,-104.814077,6842,516513,4110025,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7807,71,160-170,60-70,1,2
Point (511552.00000000093132257 4114445.00000000186264515),23528,7107823,05-071-07823,PIONEER NATURAL RESOURCES USA INC,41-15 BRECKENRIDGE,LO_XX,07107823&TYPE=WELL,266469,WELL,PR,10084,41-15,BRECKENRIDGE,70830,900,N,1060,E,NENE,15,33S,67W,6,37.176362,-104.869869,7335,511552,4114445,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7823,71,160-170,60-70,1,2
Point (516935.00000000093132257 4114469.0000000037252903),23529,7107822,05-071-07822,PIONEER NATURAL RESOURCES USA INC,14-17 TR SPEEDSTER,LO_XX,07107822&TYPE=WELL,266470,WELL,PR,10084,14-17 TR,SPEEDSTER,70830,735,N,802,W,SWSW,17,33S,66W,6,37.176492,-104.809228,7243,516935,4114469,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7822,71,170-180,60-70,1,2
Point (513986.00000000093132257 4114236.0000000037252903),23530,7107825,05-071-07825,PIONEER NATURAL RESOURCES USA INC,22-13 RED HORSE,LO_XX,07107825&TYPE=WELL,266519,WELL,PR,10084,22-13,RED HORSE,70830,1517,N,1637,W,SENW,13,33S,67W,6,37.174442,-104.842449,7545,513986,4114236,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7825,71,160-170,50-60,1,3
Point (512201.00000000093132257 4116546),23531,7107826,05-071-07826,PIONEER NATURAL RESOURCES USA INC,14-2 MADISON,LO_XX,07107826&TYPE=WELL,266520,WELL,PR,10084,14-2,MADISON,70830,727,S,1028,W,SWSW,2,33S,67W,6,37.195292,-104.862519,7585,512201,4116546,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7826,71,160-170,50-60,1,3
Point (527895.00000000093132257 4098643),23532,7107829,05-071-07829,PIONEER NATURAL RESOURCES USA INC,41-5 COW CAMP,LO_XX,07107829&TYPE=WELL,266620,WELL,PR,10084,41-5,COW CAMP,70830,100,N,208,E,NENE,5,35S,65W,6,37.033575,-104.686353,6863,527895,4098643,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7829,71,120-130,80-90,2,1
Point (531623.00000000093132257 4099958.00000000186264515),23533,7107841,05-071-07841,PIONEER NATURAL RESOURCES USA INC,21-35 BONANZA,LO_XX,07107841&TYPE=WELL,266837,WELL,PR,10084,21-35,BONANZA,70830,1126,N,1452,W,NENW,35,34S,65W,6,37.045315,-104.644382,7320,531623,4099958,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7841,71,120-130,90-100,2,1
Point (510447.00000000093132257 4117480.00000000186264515),23534,7107840,05-071-07840,PIONEER NATURAL RESOURCES USA INC,12-3 SCHNEIDER,LO_XX,07107840&TYPE=WELL,266838,WELL,PR,10084,12-3,SCHNEIDER,70830,1488,N,493,W,SWNW,3,33S,67W,6,37.203731,-104.88227,7518,510447,4117480,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7840,71,160-170,50-60,1,3
Point (506567.00000000186264515 4125918.00000000186264515),23536,7107860,05-071-07860,PIONEER NATURAL RESOURCES USA INC,31-7 GRIZ,LO_XX,07107860&TYPE=WELL,267923,WELL,PR,10084,31-7,GRIZ,70830,193,N,1790,E,NWNE,7,32S,67W,6,37.27983,-104.925922,8282,506567,4125918,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7860,71,130-140,30-40,2,4
Point (506890.00000000093132257 4126247.0000000037252903),23537,7107859,05-071-07859,PIONEER NATURAL RESOURCES USA INC,44-6 J. DAN BROWN,LO_XX,07107859&TYPE=WELL,267924,WELL,PA,10084,44-6,J. DAN BROWN,70830,0,,0,,SESE,6,32S,67W,6,37.28279,-104.92228,8490,506890,4126247,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,7859,71,130-140,30-40,2,4
Point (524122.00000000186264515 4114396.00000000186264515),23538,7106746,05-071-06746,PIONEER NATURAL RESOURCES USA INC,31-13 TR VALDEZ,LO_XX,07106746&TYPE=WELL,89167,WELL,PR,10084,31-13 TR,VALDEZ,70830,0,,0,,NWNE,13,33S,66W,6,37.17568,-104.72827,7282,524122,4114396,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6746,71,170-180,70-80,1,1
Point (526369 4113730.0000000037252903),23541,7106747,05-071-06747,PIONEER NATURAL RESOURCES USA INC,13-17 TR GROSSO,LO_XX,07106747&TYPE=WELL,89168,WELL,PR,10084,13-17 TR,GROSSO,70830,0,,0,,NWSW,17,33S,65W,6,37.16962,-104.70298,7204,526369,4113730,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6747,71,160-170,70-80,1,1
Point (530800.00000000093132257 4117862.0000000037252903),23542,7106761,05-071-06761,PIONEER NATURAL RESOURCES USA INC,COC 57890X RHINO,LO_XX,07106761&TYPE=WELL,89182,WELL,PR,10084,COC 57890X,RHINO,70830,267,N,703,E,NENE,3,33S,65W,6,37.206722,-104.652903,7084,530800,4117862,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6761,71,160-170,70-80,1,1
Point (525321 4106407),23543,7106764,05-071-06764,PIONEER NATURAL RESOURCES USA INC,21-7 ERNEST,LO_XX,07106764&TYPE=WELL,89185,WELL,PR,10084,21-7,ERNEST,70830,998,N,1883,W,NENW,7,34S,65W,6,37.103634,-104.715034,6860,525321,4106407,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6764,71,140-150,70-80,2,1
