wkt_geom,OBJECTID,link_fld,api,operator,well,symbol,sdf_key,id,type,status,oper_num,well_num,well_name,field_code,dist_n_s,dir_n_s,dist_e_w,dir_e_w,qtrqtr,sec,twp,range,meridian,lat,long_,ground_ele,utm_x,utm_y,LocQual,field_name,name,api_seq_nu,api_county,HF_Range,Gradient_R,HF_Tier,Gradient_T
Point (521833 4097916.0000000037252903),44911,7107311,05-071-07311,EL PASO E & P COMPANY LP,52 VPR C,LO_XX,07107311&TYPE=WELL,259842,WELL,PR,100872,52,VPR C,70830,2451,N,956,W,SWNW,2,35S,66W,6,37.027185,-104.754535,7721,521833,4097916,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7311,71,120-130,50-60,2,3
Point (521024 4101499.0000000037252903),44912,7107314,05-071-07314,EL PASO E & P COMPANY LP,68 VPR C,LO_XX,07107314&TYPE=WELL,259895,WELL,PR,100872,68,VPR C,70830,1242,N,1665,E,NWNE,27,34S,66W,6,37.059495,-104.763525,7742,521024,4101499,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7314,71,130-140,40-50,2,4
Point (521260 4102960.99999999813735485),44913,7107322,05-071-07322,EL PASO E & P COMPANY LP,76 VPR C,LO_XX,07107322&TYPE=WELL,259942,WELL,PR,100872,76,VPR C,70830,1727,N,881,E,SENE,22,34S,66W,6,37.072674,-104.760835,7630,521260,4102961,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7322,71,130-140,40-50,2,4
Point (523562.00000000186264515 4098335.00000000186264515),44914,7107324,05-071-07324,EL PASO E & P COMPANY LP,54 VPR C,LO_XX,07107324&TYPE=WELL,259944,WELL,PR,100872,54,VPR C,70830,1094,N,1344,W,NENW,1,35S,66W,6,37.030915,-104.735084,7200,523562,4098335,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7324,71,120-130,60-70,2,2
Point (522232 4100691.0000000037252903),44915,7107388,05-071-07388,EL PASO E & P COMPANY LP,65 VPR C,LO_XX,07107388&TYPE=WELL,260127,WELL,PR,100872,65,VPR C,70830,1372,S,2291,W,NESW,26,34S,66W,6,37.052185,-104.749965,7631,522232,4100691,Planned LatLong,PURGATOIRE RIVER,EL PASO E & P COMPANY LP,7388,71,130-140,50-60,2,3
Point (520386.00000000186264515 4124006.00000000186264515),44973,7109630,05-071-09630,PIONEER NATURAL RESOURCES USA INC,21-15 TR JAKE,LO_XX,07109630&TYPE=WELL,297295,WELL,XX,10084,21-15 TR,JAKE,70830,1198,N,1808,W,NENW,15,32S,66W,6,37.26239,-104.77009,7613,520386,4124006,PLANNED LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,9630,71,160-170,50-60,1,3
Point (526818.00000000093132257 4112950),44975,7106356,05-071-06356,PIONEER NATURAL RESOURCES USA INC,21-20 MURPHY,LO_XX,07106356&TYPE=WELL,217577,WELL,PR,10084,21-20,MURPHY,70830,590,N,1815,W,NENW,20,33S,65W,6,37.162573,-104.697944,6940,526818,4112950,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6356,71,160-170,80-90,1,1
Point (528940.00000000093132257 4113483.00000000186264515),44976,7106358,05-071-06358,PIONEER NATURAL RESOURCES USA INC,34-16 COLORADO,LO_XX,07106358&TYPE=WELL,217579,WELL,PR,10084,34-16,COLORADO,70830,1115,S,1845,E,SWSE,16,33S,65W,6,37.167313,-104.674033,6700,528940,4113483,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6358,71,150-160,80-90,1,1
Point (527313 4118432.00000000186264515),44977,7106388,05-071-06388,PIONEER NATURAL RESOURCES USA INC,33-32 EUREKA,LO_XX,07106388&TYPE=WELL,217609,WELL,PR,10084,33-32,EUREKA,70830,1640,S,1715,E,NWSE,32,32S,65W,6,37.211972,-104.692174,6852,527313,4118432,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6388,71,180-190,70-80,1,1
Point (528393.00000000093132257 4108216),44978,7106390,05-071-06390,PIONEER NATURAL RESOURCES USA INC,21-4 PCW,LO_XX,07106390&TYPE=WELL,217611,WELL,PR,10084,21-4,PCW,70830,380,N,1529,W,NENW,4,34S,65W,6,37.119854,-104.680393,6443,528393,4108216,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6390,71,140-150,80-90,2,1
Point (526651.00000000186264515 4106368),44987,7106392,05-071-06392,PIONEER NATURAL RESOURCES USA INC,11-8 PCW,LO_XX,07106392&TYPE=WELL,217613,WELL,PR,10084,11-8,PCW,70830,1108,N,1076,W,NWNW,8,34S,65W,6,37.103244,-104.700064,6652,526651,4106368,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6392,71,130-140,70-80,2,1
Point (528134 4117729.00000000186264515),44988,7106422,05-071-06422,PIONEER NATURAL RESOURCES USA INC,11-4 LAZY LIZARD,LO_XX,07106422&TYPE=WELL,217643,WELL,PR,10084,11-4,LAZY LIZARD,70830,670,N,980,W,NWNW,4,33S,65W,6,37.205612,-104.682944,6777,528134,4117729,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6422,71,170-180,70-80,1,1
Point (526000.00000000093132257 4128965.00000000186264515),44990,7106019,05-071-06019,FILON EXPLORATION CORP,1 VICTORY AMERICAN ZELES HOPE,LO_XX,07106019&TYPE=WELL,217243,WELL,DA,100018,1,VICTORY AMERICAN ZELES HOPE,99999,674,N,560,E,NENE,31,31S,65W,6,37.306957,-104.706601,7111,526000,4128965,Planned Footage,WILDCAT,FILON EXPLORATION CORP,6019,71,130-140,60-70,2,2
Point (502545.00000000093132257 4114582),44991,7106155,05-071-06155,PRECISIONEERING INC,1-14A O'NEAL,LO_XX,07106155&TYPE=WELL,217379,WELL,SI,71800,1-14A,O'NEAL,99999,715,N,743,W,NWNW,14,33S,68W,6,37.177664,-104.971331,8065,502545,4114582,Planned LatLong,WILDCAT,PRECISIONEERING INC,6155,71,140-150,50-60,2,3
Point (518633.00000000093132257 4128987),45002,7106086,05-071-06086,H B B INC,12-33 PAIZ,LO_XX,07106086&TYPE=WELL,217310,WELL,AL,36775,12-33,PAIZ,99999,660,N,1780,W,NENW,33,31S,66W,6,37.30733,-104.789738,7131,518633,4128987,Planned Footage,WILDCAT,H B B INC,6086,71,130-140,50-60,2,3
Point (528711 4115871.00000000186264515),45008,7106424,05-071-06424,PIONEER NATURAL RESOURCES USA INC,32-9 KALMOOK,LO_XX,07106424&TYPE=WELL,217645,WELL,PR,10084,32-9,KALMOOK,70830,1670,N,2470,E,SWNE,9,33S,65W,6,37.188843,-104.676514,7214,528711,4115871,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6424,71,160-170,80-90,1,1
Point (506547.00000000093132257 4123670),45009,7106439,05-071-06439,PIONEER NATURAL RESOURCES USA INC,32-18 CIMARRON,LO_XX,07106439&TYPE=WELL,217660,WELL,SI,10084,32-18,CIMARRON,70830,2361,N,1817,E,SWNE,18,32S,67W,6,37.25957,-104.926172,7943,506547,4123670,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6439,71,140-150,40-50,2,4
Point (529833.00000000093132257 4113741),45010,7106441,05-071-06441,PIONEER NATURAL RESOURCES USA INC,13-15 ALBERT,LO_XX,07106441&TYPE=WELL,217662,WELL,PR,10084,13-15,ALBERT,70830,1909,S,1094,W,NWSW,15,33S,65W,6,37.169613,-104.663963,6806,529833,4113741,PLANNED Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6441,71,150-160,80-90,1,1
Point (529067 4118539),45011,7106473,05-071-06473,PIONEER NATURAL RESOURCES USA INC,13-33 VIOLA,LO_XX,07106473&TYPE=WELL,217694,WELL,PR,10084,13-33,VIOLA,70830,1986,S,1175,E,NWSW,33,32S,65W,6,37.212882,-104.672404,6858,529067,4118539,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6473,71,170-180,70-80,1,1
Point (524807 4123426),45012,7106490,05-071-06490,PIONEER NATURAL RESOURCES USA INC,13-18 GUS,LO_XX,07106490&TYPE=WELL,217711,WELL,PR,10084,13-18,GUS,70830,2208,S,702,W,NWSW,18,32S,65W,6,37.257061,-104.720245,7301,524807,4123426,Planned LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6490,71,160-170,60-70,1,2
Point (529287 4110227),45013,7106492,05-071-06492,PIONEER NATURAL RESOURCES USA INC,44-28 BIG NOSE,LO_XX,07106492&TYPE=WELL,217713,WELL,PR,10084,44-28,BIG NOSE,70830,849,S,805,E,SESE,28,33S,65W,6,37.137954,-104.670243,6550,529287,4110227,ACTUAL LatLong,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6492,71,140-150,90-100,2,1
Point (524066.00000000093132257 4110291.00000000186264515),45014,7106505,05-071-06505,PIONEER NATURAL RESOURCES USA INC,34-25 KRISTY,LO_XX,07106505&TYPE=WELL,217726,WELL,PR,10084,34-25,KRISTY,70830,1181,S,2132,E,SWSE,25,33S,66W,6,37.138683,-104.729025,6788,524066,4110291,Planned Footage,PURGATOIRE RIVER,PIONEER NATURAL RESOURCES USA INC,6505,71,150-160,90-100,1,1
