,API,DAKOTA,GREENHORN,MORRISON,NIOBRARA,TIMPAS,GRANEROS,PIERRE,APISHAPA,CODELL,FORT,RATON,VERMEJO,POISON,TRINIDAD,CARLILE,RATON-VERMEJO,ENTRADA-DOCKUM,GLORIETA,PURGATOIRE,UNKNOWN,TORONTO,ROLLINS
82,507106156.0,,,,,,,1640.0,,,,,1196.0,,1521.0,,,,,,,,
83,507106162.0,,,,,,,,,,,0.0,1092.0,,1503.0,,,,,,,,
84,507106163.0,,,,,,,,,,,0.0,1156.0,,1559.0,,,,,,,,
85,507106164.0,,,,,,,,,,,0.0,1295.0,,1683.0,,,,,,,,
86,507106165.0,,,,,,,,,,,0.0,1430.0,,1827.0,,,,,,,,
87,507106166.0,,,,,,,,,,,0.0,1306.0,,1694.0,,,,,,,,
88,507106169.0,,,,,,,,,,,0.0,1423.0,,1777.0,,,,,,,,
89,507106170.0,,,,,,,,,,,,1849.0,,2210.0,,,,,,,,
90,507106171.0,,,,,,,,,,,0.0,1420.0,,1788.0,,,,,,,,
91,507106172.0,,,,,,,,,,,0.0,1091.0,,1516.0,,,,,,,,
92,507106173.0,,,,,,,,,,,0.0,1214.0,,1612.0,,,,,,,,
93,507106174.0,,,,,,,,,,,0.0,1256.0,,1651.0,,,,,,,,
94,507106175.0,,,,,,,,,,,0.0,,,,,,,,,,,
95,507106176.0,,,,,,,,,,,0.0,,,,,,,,,,,
96,507106181.0,,,,,,,,,,,0.0,,,,,,,,,,,
97,507106182.0,,,,,,,,,,,0.0,1190.0,,1568.0,,,,,,,,
98,507106183.0,,,,,,,,,,,0.0,1142.0,,1562.0,,,,,,,,
99,507106184.0,,,,,,,1770.0,,,,0.0,1320.0,,1614.0,,,,,,,,
100,507106185.0,,,,,,,,,,,30.0,1070.0,,1380.0,,,,,,,,
101,507106186.0,,,,,,,,,,,17.0,1102.0,,1366.0,,,,,,,,
102,507106188.0,,5795.0,,,,,2088.0,,,5573.0,,1588.0,,1962.0,,,,,,,,
103,507106189.0,,,,,,,,,,,320.0,2156.0,,2452.0,,,,,,,,
104,507106190.0,,,,,,,2542.0,,,6092.0,,2134.0,,2418.0,6106.0,,,,,,,
105,507106191.0,,5310.0,,,,,1728.0,,,5084.0,,1240.0,,1622.0,,,,,,,,
106,507106192.0,,,,,,,,,,,,,,,,,,,,,,
107,507106193.0,,,,,,,,,,,0.0,950.0,,1210.0,,,,,,,,
108,507106194.0,,,,,,,,,,,0.0,834.0,,1100.0,,,,,,,,
109,507106195.0,,,,,,,,,,,0.0,1329.0,,1609.0,,,,,,,,
110,507106196.0,,,,,,,,,,,,730.0,,1024.0,,,,,,,,
111,507106197.0,,,,,,,,,,,275.0,2020.0,,2370.0,,,,,,,,
112,507106199.0,,,,,,,,,,,331.0,2176.0,,2483.0,,,,,,,,
113,507106200.0,,,,,,,,,,,260.0,2062.0,,2383.0,,,,,,,,
114,507106201.0,,,,,,,,,,,0.0,511.0,,819.0,,,,,,,,
115,507106202.0,,,,,,,,,,,0.0,566.0,,883.0,,,,,,,,
116,507106203.0,,,,,,,,,,,0.0,550.0,,882.0,,,,,,,,
117,507106204.0,,,,,,,,,,,0.0,522.0,,823.0,,,,,,,,
118,507106205.0,,,,,,,,,,,406.0,1770.0,,2100.0,,,,,,,,
119,507106206.0,,,,,,,,,,,680.0,2270.0,0.0,2350.0,,,,,,,,
120,507106207.0,,,,,,,,,,,620.0,1950.0,,2310.0,,,,,,,,
121,507106208.0,,,,,,,,,,,0.0,1495.0,,1778.0,,,,,,,,
122,507106209.0,,,,,,,,,,,,988.0,,1240.0,,,,,,,,
123,507106210.0,,,,,,,2220.0,,,,400.0,1760.0,,2050.0,,,,,,,,
124,507106211.0,,,,,,,,,,,0.0,1500.0,,1778.0,,,,,,,,
125,507106213.0,,,,,,,,,,,,713.0,,916.0,,,,,,,,
126,507106214.0,,,,,,,,,,,,1037.0,,,,,,,,,,
127,507106215.0,,,,,,,,,,,982.0,1038.0,,,,,,,,,,
128,507106219.0,,,,,,,,,,,0.0,1105.0,,,,,,,,,,
129,507106220.0,,,,,,,,,,,265.0,1138.0,,,,,,,,,,
130,507106222.0,,,,,,,,,,,,1168.0,,,,,,,,,,
131,507106223.0,,,,,,,,,,,,1214.0,,,,,,,,,,
132,507106224.0,,,,,,,,,,,0.0,1465.0,,1750.0,,,,,,,,
133,507106226.0,,,,,,,1910.0,,,,105.0,1480.0,,1794.0,,,,,,,,
134,507106227.0,,,,,,,1810.0,,,,0.0,1440.0,,1710.0,,,,,,,,
135,507106228.0,,,,,,,,,,,0.0,908.0,,1132.0,,,,,,,,
136,507106229.0,,,,,,,,,,,,1324.0,,1550.0,,,,,,,,
137,507106230.0,,,,,,,,,,,,650.0,,826.0,,,,,,,,
138,507106231.0,,,,,,,,,,,,1000.0,,1260.0,,,,,,,,
139,507106232.0,,,,,,,1430.0,,,,,1030.0,,1262.0,,,,,,,,
140,507106233.0,,,,,,,,,,,,1110.0,,1352.0,,,,,,,,
141,507106234.0,,,,,,,1680.0,,,,,1300.0,,1550.0,,,,,,,,
142,507106235.0,,,,,,,,,,,,1100.0,,1336.0,,,,,,,,
143,507106236.0,,,,,,,,,,,0.0,1310.0,,1620.0,,,,,,,,
144,507106237.0,,,,,,,,,,,,630.0,,778.0,,,,,,,,
145,507106238.0,,,,,,,810.0,,,,0.0,370.0,,675.0,,,,,,,,
146,507106240.0,,,,,,,,,,,0.0,1158.0,,1480.0,,,,,,,,
147,507106241.0,,,,,,,,,,,0.0,1552.0,,1854.0,,,,,,,,
148,507106243.0,,,,,,,1790.0,,,,0.0,1376.0,,1666.0,,,,,,,,
149,507106244.0,,,,,,,,,,,0.0,700.0,,969.0,,,,,,,,
150,507106245.0,,,,,,,,,,,,1140.0,,1465.0,,,,,,,,
151,507106247.0,,,,,,,,,,,,672.0,,986.0,,,,,,,,
152,507106248.0,,,,,,,,,,,,590.0,,830.0,,,,,,,,
153,507106250.0,,,,,,,1850.0,,,,0.0,1410.0,,1850.0,,,,,,,,
154,507106261.0,,,,,,,,,,,400.0,2180.0,,,,,,,,,,
155,507106263.0,,,,,,,,,,,315.0,2037.0,,,,,,,,,,
156,507106264.0,,,,,,,,,,,590.0,2034.0,,2399.0,,,,,,,,
157,507106268.0,,,,,,,,,,,,1187.0,,,,,,,,,,
158,507106271.0,,,,,,,,,,,397.0,,,,,,,,,,,
159,507106284.0,,,,,,,,,,,430.0,1846.0,,2244.0,,,,,,,,
160,507106286.0,,,,,,,,,,,400.0,1828.0,,2206.0,,,,,,,,
161,507106287.0,,,,,,,,,,,,1000.0,,1266.0,,,,,,,,
162,507106288.0,,,,,,,,,,,400.0,1770.0,,2128.0,,,,,,,,
163,507106292.0,,,,,,,,,,,510.0,1952.0,,2322.0,,,,,,,,
164,507106293.0,,,,,,,,,,,480.0,1887.0,,2244.0,,,,,,,,
165,507106294.0,,,,,,,,,,,,922.0,,1191.0,,,,,,,,
166,507106295.0,,,,,,,,,,,0.0,1070.0,,1324.0,,,,,,,,
167,507106296.0,,,,,,,,,,,432.0,1802.0,,2144.0,,,,,,,,
168,507106297.0,,,,,,,,,,,656.0,2014.0,,2354.0,,,,,,,,
169,507106299.0,,,,,,,,,,,277.0,1096.0,,,,,,,,,,
170,507106300.0,,,,,,,,,,,,1236.0,,,,,,,,,,
171,507106301.0,,,,,,,,,,,688.0,2009.0,,2302.0,,,,,,,,
172,507106302.0,,,,,,,,,,,750.0,2096.0,,2452.0,,,,,,,,
173,507106303.0,,,,,,,,,,,762.0,2108.0,,2476.0,,,,,,,,
174,507106304.0,,,,,,,,,,,554.0,1839.0,,2134.0,,,,,,,,
175,507106307.0,,,,,,,,,,,480.0,1894.0,,2298.0,,,,,,,,
176,507106309.0,,,,,,,1995.0,,,,100.0,1562.0,,1836.0,,,,,,,,
177,507106310.0,,,,,,,1950.0,,,,0.0,1540.0,,1810.0,,,,,,,,
178,507106314.0,,,,,,,1090.0,,,,,750.0,,980.0,,,,,,,,
179,507106315.0,,,,,,,,,,,,1200.0,,1462.0,,,,,,,,
180,507106317.0,,,,,,,,,,,0.0,,,,,,,,,,,
181,507106319.0,,,,,,,,,,,,404.0,,765.0,,,,,,,,
182,507106320.0,,,,,,,,,,,,764.0,,,,,,,,,,
183,507106321.0,,,,,,,,,,,,,,698.0,,,,,,,,
184,507106322.0,,,,,,,,,,,,,,933.0,,,,,,,,
185,507106323.0,,,,,,,,,,,,387.0,,682.0,,,,,,,,
186,507106324.0,,,,,,,,,,,,488.0,,787.0,,,,,,,,
187,507106325.0,,,,,,,,,,,,480.0,,782.0,,,,,,,,
188,507106326.0,,,,,,,,,,,,449.0,,748.0,,,,,,,,
189,507106328.0,,,,,,,,,,,,491.0,,808.0,,,,,,,,
190,507106330.0,,,,,,,,,,,,706.0,,1010.0,,,,,,,,
191,507106331.0,,,,,,,,,,,,446.0,,752.0,,,,,,,,
192,507106333.0,,,,,,,1690.0,,,,,1295.0,,1520.0,,,,,,,,
193,507106334.0,,,,,,,,,,,,572.0,,857.0,,,,,,,,
194,507106335.0,,,,,,,1158.0,,,,0.0,770.0,,1042.0,,,,,,,,
195,507106336.0,,,,,,,,,,,,764.0,,,,,,,,,,
196,507106337.0,,,,,,,,,,,,1362.0,,,,,,,,,,
197,507106339.0,,,,,,,,,,,,1452.0,,,,,,,,,,
198,507106340.0,,,,,,,,,,,0.0,1364.0,,,,,,,,,,
199,507106341.0,,,,,,,,,,,548.0,,,,,,,,,,,
200,507106342.0,,,,,,,,,,,,,,,,,,,,,,
201,507106343.0,,,,,,,,,,,0.0,975.0,,,,,,,,,,
202,507106344.0,,,,,,,,,,,,1248.0,,,,,,,,,,
203,507106347.0,,,,,,,,,,,,1248.0,,,,,,,,,,
204,507106350.0,,,,,,,,,,,414.0,2157.0,,2468.0,,,,,,,,
205,507106356.0,,,,,,,,,,,0.0,980.0,,1232.0,,,,,,,,
206,507106358.0,,,,,,,,,,,0.0,700.0,,967.0,,,,,,,,
207,507106360.0,,,,,,,,,,,0.0,836.0,,1095.0,,,,,,,,
208,507106396.0,,,,,,,,,,,430.0,,,,,,,,,,,
209,507106397.0,,,,,,,,,,,977.0,,,,,,,,,,,
210,507106398.0,,,,,,,,,,,553.0,,,,,,,,,,,
